*** Setting up environment
*** Setting up first AFP user
*** Configuring shared volume
*** Fixing permissions
*** Removing residual lock files
*** Configuring Netatalk
NOTE: Set the `ATALKD_INTERFACE' environment variable to start DDP services.
*** Starting AFP server
*** Running testsuite: speed

test_name,iteration,file_size_mb,microseconds,throughput_mbs
Copy,1,2.000,792,2525.25
Copy,2,2.000,923,2166.85
Copy,3,2.000,828,2415.46
Copy,4,2.000,809,2472.19
Copy,5,2.000,840,2380.95
Copy_mean,,2.000,838,2385.50
Copy_median,,2.000,828,2415.46
Copy_stddev,,2.000,45,
Copy_min,,2.000,792,2525.25
Copy_max,,2.000,923,2166.85
ServerCopy,1,2.000,859,2328.29
ServerCopy,2,2.000,838,2386.63
ServerCopy,3,2.000,849,2355.71
ServerCopy,4,2.000,863,2317.50
ServerCopy,5,2.000,819,2442.00
ServerCopy_mean,,2.000,845,2365.18
ServerCopy_median,,2.000,849,2355.71
ServerCopy_stddev,,2.000,15,
ServerCopy_min,,2.000,819,2442.00
ServerCopy_max,,2.000,863,2317.50
Read,1,4.000,627,6379.59
Read,2,4.000,644,6211.18
Read,3,4.000,625,6400.00
Read,4,4.000,599,6677.80
Read,5,4.000,654,6116.21
Read_mean,,4.000,629,6351.22
Read_median,,4.000,627,6379.59
Read_stddev,,4.000,18,
Read_min,,4.000,599,6677.80
Read_max,,4.000,654,6116.21
Write,1,4.000,2305,1735.36
Write,2,4.000,2138,1870.91
Write,3,4.000,2121,1885.90
Write,4,4.000,2216,1805.05
Write,5,4.000,2131,1877.05
Write_mean,,4.000,2182,1833.01
Write_median,,4.000,2138,1870.91
Write_stddev,,4.000,70,
Write_min,,4.000,2121,1885.90
Write_max,,4.000,2305,1735.36
Copy,1,4.000,1651,2422.77
Copy,2,4.000,1613,2479.85
Copy,3,4.000,1583,2526.85
Copy,4,4.000,1591,2514.14
Copy,5,4.000,1587,2520.48
Copy_mean,,4.000,1605,2492.21
Copy_median,,4.000,1591,2514.14
Copy_stddev,,4.000,25,
Copy_min,,4.000,1583,2526.85
Copy_max,,4.000,1651,2422.77
ServerCopy,1,4.000,1358,2945.51
ServerCopy,2,4.000,1340,2985.07
ServerCopy,3,4.000,1361,2939.02
ServerCopy,4,4.000,1384,2890.17
ServerCopy,5,4.000,1296,3086.42
ServerCopy_mean,,4.000,1347,2967.80
ServerCopy_median,,4.000,1358,2945.51
ServerCopy_stddev,,4.000,29,
ServerCopy_min,,4.000,1296,3086.42
ServerCopy_max,,4.000,1384,2890.17
